category,goods_name,jpPrice,jporgPrice,referencePrice
化妝品,太陽蘆薈社 玻尿酸水溶液 80ml,"2,980JPY","4,400JPY",(約152.28CNY)
化妝品,花王 Curél 逆齡彈潤水凝霜 40g,"3,280JPY","3,280JPY",(約167.61CNY)
化妝品,Queen's Premium 女王寶石面膜 保濕潤澤 (5片裝),798JPY,798JPY,(約40.78CNY)
化妝品,BISON 佰松 爆汗汤入浴剂 柚子生姜香 60g,199JPY,268JPY,(約10.17CNY)
化妝品,REVITAL 莉薇特麗 全效化妝水EX Ⅱ,"6,600JPY","8,100JPY",(約337.26CNY)
化妝品,HABA鯊烷保濕潔面乳１００ｇ,"2,180JPY","2,180JPY",(約111.4CNY)
化妝品,ITO 一次性洗臉巾,548JPY,548JPY,(約28CNY)
化妝品,AVANCE 睫毛增長液EX,"1,960JPY","1,960JPY",(約100.16CNY)
化妝品,花王 Curél Moisture Balm 潤浸保濕乳霜 70g,"2,060JPY","2,060JPY",(約105.27CNY)
化妝品,SHISEIDO资生堂Fino芬浓日本进口护理改善毛躁护发滋润修复柔顺干枯浸透美容液发膜护发素超值套装 230g＊3,"2,700JPY","2,700JPY",(約137.97CNY)
化妝品,柳屋增发根清爽滋养液 防脱发密发 240ml,"1,110JPY","1,110JPY",(約56.72CNY)
化妝品,UNO 俐落至上機能水 保濕型 (160mL),980JPY,980JPY,(約50.08CNY)
化妝品,CreerBeaute 凡尔赛玫瑰 安东尼特白金保湿面膜 10片超值优惠套装,"3,980JPY","3,980JPY",(約203.38CNY)
化妝品,花王 Curél 潤浸保濕化妝水 III (潤澤型),"2,180JPY","2,180JPY",(約111.4CNY)
化妝品,SANA 濃豆乳眼霜,698JPY,999JPY,(約35.67CNY)
化妝品,Moltobene Loretta 天然護髮油 (120mL),"3,280JPY","3,280JPY",(約167.61CNY)
化妝品,KAO花王Curel珂润日本进口淡纹紧致滋养紫色抗老抗皱水润超级保湿面霜乳霜40g,"3,080JPY","3,080JPY",(約157.39CNY)
化妝品,【数量限定，超值套装】Kracie肌美精日本进口补水保湿紧致弹力抗皱橙色超浸透3D立体面膜 4片/盒 3盒套装,"1,500JPY","1,500JPY",(約76.65CNY)
化妝品,BISON 佰松 爆汗汤入浴剂 热感生姜香 60g,199JPY,288JPY,(約10.17CNY)
化妝品,CoenRich 藥用美白 護手霜 深層保濕,598JPY,598JPY,(約30.56CNY)
化妝品,suisai 皂霜,"2,420JPY","2,500JPY",(約123.66CNY)
化妝品,PureSmileChoosy淡化唇紋水潤雙唇保濕滋潤補水膜【香草味】1片装,128JPY,128JPY,(約6.54CNY)
化妝品,Pure Smile Choosy 保濕唇膜 蜂蜜,128JPY,128JPY,(約6.54CNY)
化妝品,ROHTO製藥 SKIN AQUA Tone Up UV 防曬精華露 紫管,990JPY,990JPY,(約50.59CNY)
化妝品,Cure天然水潤凝凍 250g,"3,060JPY","3,060JPY",(約156.37CNY)
化妝品,LITS 植物幹細胞保濕面膜,"2,880JPY","2,880JPY",(約147.17CNY)
化妝品,資生堂 インテグレート グレイシィ モイストクリーム ファンデーション オークル10,"1,320JPY","1,320JPY",(約67.45CNY)
化妝品,樂敦CC 淡斑精華 20ml,"1,410JPY","1,410JPY",(約72.05CNY)
化妝品,花王 Atrix Beauty Charge 護手霜 無香料,768JPY,768JPY,(約39.24CNY)
化妝品,DHC蝶翠詩 橄欖油蘆薈精華保濕滋潤修護護手霜　橄欖花香 姆明限定款 45g,598JPY,598JPY,(約30.56CNY)
化妝品,血流改善 酸痛貼布(肩膀用),"1,380JPY","1,380JPY",(約70.52CNY)
化妝品,KOSE Precious Garden 身體乳 甜心蜜桃 (200g),780JPY,780JPY,(約39.86CNY)
化妝品,Fujiko 頭髮去油蓬蓬粉 8.5g,"1,980JPY","1,980JPY",(約101.18CNY)
化妝品,SHISEIDO资生堂Waterinlip水之密语日本进口温泉水保湿防干裂修护自然护理润唇膏 3.5g,398JPY,398JPY,(約20.34CNY)
化妝品,資生堂 TSUBAKI Premium moist 洗發精 補充包 330ml,680JPY,680JPY,(約34.75CNY)
化妝品,CreerBeaute 凡爾賽玫瑰 舒緩潤澤面膜 1片裝,648JPY,648JPY,(約33.11CNY)
化妝品,資生堂 アクアレーベル バウンシングケア ミルク,"1,980JPY","1,980JPY",(約101.18CNY)
化妝品,KOSE TONE UP UV 防曬精華乳 薄荷綠 80g,880JPY,880JPY,(約44.97CNY)
化妝品,小林制藥祛斑霜VC深層保濕淡斑面霜美白祛斑膏30g,"1,850JPY","1,850JPY",(約94.53CNY)
化妝品,药用美白紧致眼霜 30g 【3支套装】,"1,794JPY","1,794JPY",(約91.67CNY)
化妝品,REVITAL 莉薇特麗 調理洗面乳 Ⅱ,"3,850JPY","3,850JPY",(約196.73CNY)
化妝品,SHISEIDO资生堂AQUA LABEL水之印 肌源健康乳霜 100g,"1,080JPY","1,080JPY",(約55.19CNY)
化妝品,資生堂SENKA深層痤瘡護理潔面乳 120g,698JPY,698JPY,(約35.67CNY)
化妝品,Miracle Romance 變裝 & 變身 Pen Liquid Eyeliner 美少女戰士眼線液筆 水手月亮,"1,320JPY","1,600JPY",(約67.45CNY)
化妝品,リンクルリフト レチノサイエンスAA,"6,600JPY","8,100JPY",(約337.26CNY)
化妝品,CoenRich 藥用美白 輔酶Q10 護手霜 (蜜桃香) 80g,498JPY,498JPY,(約25.45CNY)
化妝品,資生堂 TSUBAKI Premium moist 潤髮乳 補充包 330ml,680JPY,680JPY,(約34.75CNY)
化妝品,CreerBeaute 凡爾賽玫瑰 安東尼透亮嫩膚面膜 1片裝,648JPY,648JPY,(約33.11CNY)
化妝品,chufudi 沖繩海泥面膜 20g,300JPY,300JPY,(約15.33CNY)
化妝品,ANGFA SCALP-D 昂法女士天然有机护发素350ml 预防脱发修复受损发质,"2,180JPY","2,180JPY",(約111.4CNY)
化妝品,面膜 LuLuLun PreciousW3 7片裝,555JPY,555JPY,(約28.36CNY)
化妝品,Saborino 早晨面膜 成熟果實高保濕款 28片,"1,450JPY","1,450JPY",(約74.09CNY)
化妝品, LuLuLun驻颜弹力焕彩提亮滋润保湿面膜【黄色】10片装,720JPY,720JPY,(約36.79CNY)
