category,goods_name,jpPrice,jporgPrice,referencePrice
美容護膚,chufudi 沖繩海泥面膜 20g×6袋,"2,000JPY","2,000JPY",(約102.4CNY)
美容護膚,纪阳除虫菊 milky 不二家牛奶妹香草牛奶 入浴剂 50g,218JPY,218JPY,(約11.16CNY)
美容護膚,ROSETTE 去角質凝露 120g,660JPY,660JPY,(約33.79CNY)
美容護膚,花王 珂潤冬季滋潤超值套裝,"4,380JPY","4,380JPY",(約224.26CNY)
美容護膚,資生堂 AQUA LABEL 水之印抗老系列水 滋潤型 200ml,"1,780JPY","1,780JPY",(約91.14CNY)
美容護膚,CLEAR TURN WHITE 膠原蛋白水潤面膜 5片,775JPY,775JPY,(約39.68CNY)
美容護膚,【数量限定，买珂润送唐企鹅限定娃娃】Curel 珂润初秋补水超值套装，更附赠唐企鹅限定娃娃,"4,500JPY","4,526JPY",(約230.4CNY)
美容護膚,MSH LoveLiner 液体眼线笔 深棕色 0.55ml,"1,800JPY","1,800JPY",(約92.16CNY)
美容護膚,ROSETTE 海泥洗面乳 粉色款 120g,558JPY,558JPY,(約28.57CNY)
美容護膚,植村秀 睫毛夾,"1,630JPY","1,630JPY",(約83.46CNY)
美容護膚,CLEAR TURN Premium清新面膜 (緊緻明亮) 3片裝,768JPY,768JPY,(約39.32CNY)
美容護膚,ANGFA SCALP-D 昂法女士天然植萃有机机洗发水 350ml+护发素 350ml 加送3包one day试用特惠套装,"4,000JPY","4,000JPY",(約204.8CNY)
美容護膚,BISON 佰松 爆汗汤入浴剂 草莓苏打香 60g,268JPY,268JPY,(約13.72CNY)
美容護膚,SK-II/SK2提亮肤色补水修护滋养净白小灯泡美白精华面部精华50ml,"24,500JPY","24,500JPY","(約1,254.4CNY)"
美容護膚,KAO花王SOFINA苏菲娜Primavista隐形毛孔妆前修饰乳超值套装25ml*2支,"4,360JPY","4,360JPY",(約223.23CNY)
美容護膚,Deonatulle 足部除臭止汗乳霜,"1,180JPY","1,180JPY",(約60.42CNY)
美容護膚,花王 Curél 保濕身體乳霜 90g,"1,760JPY","1,760JPY",(約90.11CNY)
美容護膚,MSH LoveLiner 液体眼线笔 黑色 0.55ml,"1,800JPY","1,800JPY",(約92.16CNY)
美容護膚,溫和滋潤馬油凝霜 83g,"3,960JPY","3,960JPY",(約202.75CNY)
美容護膚,悠斯晶 yuskin 滋潤保濕護手霜 40g,498JPY,583JPY,(約25.5CNY)
美容護膚,REVITAL 莉薇特麗 全效化妝水EX I,"6,600JPY","6,600JPY",(約337.92CNY)
美容護膚,SHISEIDO资生堂Waterinlip水之密语日本进口温泉水保湿防干裂修护润唇膏 防晒成分 SPF18/PA+ 3.5g,398JPY,398JPY,(約20.38CNY)
美容護膚,Deonatulle 男用柔軟制汗消臭石W,"1,177JPY","1,177JPY",(約60.26CNY)
美容護膚,【数量限定，SK-II超值套装，更赠送青春敷面膜一枚】SK-II/SK2水油平衡补水保湿精华露神仙水230ml ＋提拉紧致收缩毛孔精华面霜大红瓶红罐80g 超值套装,"29,600JPY","29,600JPY","(約1,515.52CNY)"
美容護膚,LITS 植物幹細胞精華面膜 1次份,450JPY,498JPY,(約23.04CNY)
美容護膚,資生堂 尿素配方 保濕乳液 150ml,548JPY,598JPY,(約28.06CNY)
美容護膚,KOSE高丝Precious Garden珍贵花园保湿滋润持久留香实用套装,"1,080JPY","1,160JPY",(約55.3CNY)
美容護膚,Bifesta 即淨保濕卸妝棉 濃妝即淨 40張,670JPY,670JPY,(約34.3CNY)
美容護膚,SHISEIDO资生堂Waterinlip水之密语日本进口温泉水保湿防干裂修护含樱花等植物成分润唇膏 3.5g,498JPY,498JPY,(約25.5CNY)
美容護膚,資生堂 AQUA LABEL 水之印抗老系列面霜 50g,"2,200JPY","2,200JPY",(約112.64CNY)
美容護膚,マキアージュ ドラマティックスキンセンサーベース EX,"2,860JPY","2,860JPY",(約146.43CNY)
美容護膚,OPERA Mylash 黑皇后純黑睫毛膏 漆黑,"1,100JPY","1,100JPY",(約56.32CNY)
美容護膚, LuLuLun驻颜水油平衡抗衰焕活年轻肌补水保湿面膜【青色】10片装,720JPY,720JPY,(約36.86CNY)
美容護膚,利尻 洗髮乳 深咖啡色,"4,180JPY","4,180JPY",(約214.02CNY)
美容護膚,資生堂 TSUBAKI Premium repair 洗髮精 490ml,"1,110JPY","1,110JPY",(約56.83CNY)
美容護膚,SHISEIDO资生堂AQUA LABEL水之印紧致补水高保湿弹力面霜90g,"2,180JPY","2,180JPY",(約111.62CNY)
美容護膚,樂敦制藥 SKIN AQUA 水感保濕防嗮精華 80g,960JPY,960JPY,(約49.15CNY)
美容護膚,Kose 高丝 Q10弹力保湿细致嫩白滋润防裂清爽护手霜 80g,548JPY,548JPY,(約28.06CNY)
美容護膚,KAO花王Curel珂润保湿补水敏感肌舒缓化妆水乳液超值套装,"3,980JPY","3,980JPY",(約203.78CNY)
美容護膚,花王 Curél 潤浸保濕化妝水 I (清爽型),"2,180JPY","2,180JPY",(約111.62CNY)
美容護膚,资生堂 强力吸油纸,110JPY,110JPY,(約5.63CNY)
美容護膚,ROSETTE 海泥洗面乳 黃色款,558JPY,558JPY,(約28.57CNY)
美容護膚,AQUALABEL BRIGHT WHITE EX 45mL,"2,310JPY","2,310JPY",(約118.27CNY)
美容護膚,BCL 桃子泡泡淨顏面膜 20g,398JPY,398JPY,(約20.38CNY)
美容護膚,One Day Brightener Premium 高級潤膚乳液 (身體・臉部用),"1,650JPY","1,650JPY",(約84.48CNY)
美容護膚,KOSE高丝Precious Garden珍贵花园紧致柔嫩肌肤细致去皱保湿护手霜【柚子香】70g,398JPY,398JPY,(約20.38CNY)
美容護膚,UZU Eye Opening Liner 彩色眼线液笔 BROWN BLACK,"1,887JPY","1,887JPY",(約96.61CNY)
